day,month,year,hour,ct,wd,ws,hc,ccp,cco,p,temp,dpTemp,vis,pw,relh
1,1,2023,0,,90.0,3.601108,,,,1009.6620220486152,28.000000000000004,23.000000000000004,,0.0,74.28
1,1,2023,1,,100.0,4.629996,640.08,3.0,3.0,1009.6620220486152,28.000000000000004,24.0,,0.0,78.9
1,1,2023,2,,100.0,4.629996,670.5600000000001,3.0,3.0,1009.6656156613755,26.999999999999996,24.0,,0.0,83.66
1,1,2023,3,,100.0,4.629996,670.5600000000001,3.0,3.0,1009.6656156613755,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,4,,110.0,4.629996,670.5600000000001,3.0,3.0,1009.6692092844927,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,5,,110.0,6.173328,670.5600000000001,3.0,3.0,1009.6716050389915,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,6,,100.0,6.173328,640.08,3.0,3.0,1009.6716050389915,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,7,,110.0,5.6588840000000005,640.08,3.0,3.0,1009.6716050389915,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,8,,110.0,5.6588840000000005,609.6,3.0,3.0,1009.6716050389915,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,9,,100.0,4.629996,762.0,3.0,3.0,1009.6692092844927,26.999999999999996,21.999999999999996,,0.0,74.11
1,1,2023,10,,100.0,7.71666,762.0,3.0,3.0,1009.6656156613755,28.000000000000004,23.000000000000004,,0.0,74.28
1,1,2023,11,,110.0,8.745548,762.0,6.0,6.0,1009.6656156613755,29.0,23.000000000000004,,0.0,70.08
1,1,2023,12,,120.0,9.259992,701.0400000000001,6.0,6.0,1009.6620220486152,29.0,23.000000000000004,,0.0,70.08
1,1,2023,13,,100.0,7.71666,701.0400000000001,6.0,6.0,1009.6656156613755,30.0,23.000000000000004,,0.0,66.15
1,1,2023,14,,110.0,8.231104,792.48,6.0,6.0,1009.6656156613755,30.0,21.999999999999996,,0.0,62.25
1,1,2023,15,,110.0,7.71666,792.48,6.0,6.0,1009.6692092844927,30.0,23.000000000000004,,0.0,66.15
1,1,2023,16,,100.0,7.202216,792.48,6.0,6.0,1009.6692092844927,30.0,23.000000000000004,,0.0,66.15
