Agência Nacional de Águas - ANA;;;;
Superintendência de Gestão da Rede Hidrometeorológica-SGH;;;;
Sistema de Informações Hidrológicas - Versão WEB;;;;
Fone: (61) 2109-5242;;;;
E-mail: hidro@ana.gov.br;;;;
;;;;
NivelConsistencia: 1 = Bruto. 2 = Consistido;;;;
TipoMedicaoChuvas: 1 = Pluviômetro. 2 = Pluviógrafo. 3 = Data logger;;;;
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Acumulado;;;;
;;;;
Restrições da consulta:;;;;
Código da Estação:536012;;;;
;;;;
;;;;
EstacaoCodigo;NivelConsistencia;mês;ano;Chuva
536012;1;12;1991;0
536012;1;11;1991;4.6
536012;1;10;1991;0
536012;1;9;1991;0
536012;1;8;1991;4.8
536012;1;7;1991;37.4
536012;1;6;1991;22
536012;1;5;1991;60.2
536012;1;4;1991;94.8
536012;1;3;1991;57.8
536012;1;2;1991;28.8
536012;1;1;1991;19.4
536012;1;12;1990;0
536012;1;11;1990;0
536012;1;10;1990;0
536012;1;9;1990;0
536012;1;8;1990;35.8
536012;1;7;1990;18.8
536012;1;6;1990;61.8
536012;1;5;1990;15.8
536012;1;4;1990;30.4
536012;1;3;1990;21.2
536012;1;2;1990;71.4
536012;1;1;1990;3.2
536012;1;12;1989;51.8
536012;1;11;1989;9
536012;1;10;1989;0
536012;1;9;1989;1.8
536012;1;8;1989;21.6
536012;1;7;1989;81.8
536012;1;6;1989;25.6
536012;1;5;1989;39.5
536012;1;4;1989;269.2
536012;1;3;1989;79.6
536012;1;2;1989;55.6
536012;1;1;1989;16.2
536012;1;12;1988;2.8
536012;1;11;1988;10.8
536012;1;10;1988;4.6
536012;1;9;1988;27.6
536012;1;8;1988;26
536012;1;7;1988;35.2
536012;1;6;1988;12.6
536012;1;5;1988;88.8
536012;1;4;1988;68.4
536012;1;3;1988;173
536012;1;2;1988;35.8
536012;1;1;1988;4.6
536012;1;12;1987;0
536012;1;11;1987;6.2
536012;1;10;1987;0
536012;1;9;1987;0
536012;1;8;1987;1.2
536012;1;7;1987;39.4
536012;1;6;1987;76.2
536012;1;5;1987;2.2
536012;1;4;1987;73.8
536012;1;3;1987;214.6
536012;1;2;1987;24
536012;1;1;1987;0
536012;1;12;1986;4.8
536012;1;11;1986;4.4
536012;1;10;1986;3.2
536012;1;9;1986;12.8
536012;1;8;1986;22.8
536012;1;7;1986;17.2
536012;1;6;1986;59
536012;1;5;1986;97.8
536012;1;4;1986;162
536012;1;3;1986;326.6
536012;1;2;1986;150
536012;1;1;1986;61
536012;1;12;1985;33.8
536012;1;11;1985;3.2
536012;1;10;1985;0
536012;1;9;1985;0
536012;1;8;1985;24
536012;1;7;1985;80
536012;1;6;1985;57.6
536012;1;5;1985;35.6
536012;1;4;1985;357.4
536012;1;3;1985;339.8
536012;1;2;1985;172.8
536012;1;1;1985;68.6
536012;1;12;1984;0
536012;1;11;1984;0
536012;1;10;1984;4
536012;1;9;1984;33
536012;1;8;1984;9.6
536012;1;7;1984;18.2
536012;1;6;1984;42.2
536012;1;5;1984;66
536012;1;4;1984;201.4
536012;1;3;1984;138.2
536012;1;2;1984;11.2
536012;1;1;1984;19.4
536012;1;12;1983;0
536012;1;11;1983;0
536012;1;10;1983;0
536012;1;9;1983;0
536012;1;8;1983;26.8
536012;1;7;1983;13.4
536012;1;6;1983;7.4
536012;1;5;1983;31.6
536012;1;4;1983;36.6
536012;1;3;1983;44
536012;1;2;1983;99.4
536012;1;1;1983;8.4
536012;1;12;1982;6.4
536012;1;11;1982;6
536012;1;10;1982;0
536012;1;9;1982;4.2
536012;1;8;1982;14.6
536012;1;7;1982;51.8
536012;1;6;1982;32.8
536012;1;5;1982;84.2
536012;1;4;1982;66.5
536012;1;3;1982;20
536012;1;2;1982;26.6
536012;1;1;1982;0
536012;1;12;1981;29.8
536012;1;11;1981;0
536012;1;10;1981;0
536012;1;9;1981;0
536012;1;8;1981;3.2
536012;1;7;1981;0
536012;1;6;1981;27.6
536012;1;5;1981;56.8
536012;1;4;1981;16.6
536012;1;3;1981;324.4
536012;1;2;1981;62.1
536012;1;1;1981;23.4
536012;1;12;1980;3.1
536012;1;11;1980;0
536012;1;10;1980;0
536012;1;9;1980;3.1
536012;1;8;1980;19.4
536012;1;7;1980;32.3
536012;1;6;1980;50.5
536012;1;5;1980;16
536012;1;4;1980;10.5
536012;1;3;1980;20.1
536012;1;2;1980;135
536012;1;1;1980;3.8
536012;1;12;1979;6.9
536012;1;11;1979;0
536012;1;10;1979;0
536012;1;9;1979;8.1
536012;1;8;1979;10.8
536012;1;7;1979;5.9
536012;1;6;1979;32.5
536012;1;5;1979;73.9
536012;1;4;1979;10.4
536012;1;3;1979;5.2
536012;1;2;1979;156.3
536012;1;1;1979;4.6
536012;1;12;1978;13.4
536012;1;11;1978;0
536012;1;10;1978;0
536012;1;9;1978;0
536012;1;8;1978;0
536012;1;7;1978;27.4
536012;1;6;1978;40.7
536012;1;5;1978;124.7
536012;1;4;1978;115.4
536012;1;3;1978;89.6
536012;1;2;1978;130.4
536012;1;1;1978;0
536012;1;12;1977;5.5
536012;1;11;1977;0
536012;1;10;1977;0
536012;1;9;1977;10.1
536012;1;8;1977;3.5
536012;1;7;1977;36.7
536012;1;6;1977;95
536012;1;5;1977;73.7
536012;1;4;1977;274.2
536012;1;3;1977;34.9
536012;1;2;1977;42.4
536012;1;1;1977;43.3
536012;1;12;1976;0
536012;1;11;1976;0
536012;1;10;1976;0
536012;1;9;1976;0
536012;1;8;1976;12.9
536012;1;7;1976;35.6
536012;1;6;1976;13
536012;1;5;1976;50.8
536012;1;4;1976;55.8
536012;1;3;1976;57.5
536012;1;2;1976;119.9
536012;1;1;1976;2.8
536012;1;12;1975;113.3
536012;1;11;1975;1.1
536012;1;10;1975;0
536012;1;9;1975;0
536012;1;8;1975;5.6
536012;1;7;1975;157.2
536012;1;6;1975;55.7
536012;1;5;1975;69.5
536012;1;4;1975;103.4
536012;1;3;1975;97.3
536012;1;2;1975;23.6
536012;1;1;1975;17.2
536012;1;12;1974;5.3
536012;1;11;1974;0
536012;1;10;1974;0
536012;1;9;1974;29.9
536012;1;8;1974;0
536012;1;7;1974;147.7
536012;1;6;1974;21.9
536012;1;5;1974;79.3
536012;1;4;1974;323.6
536012;1;3;1974;161.7
536012;1;2;1974;106.3
536012;1;1;1974;85
536012;1;12;1973;0
536012;1;11;1973;0
536012;1;10;1973;0
536012;1;9;1973;14
536012;1;8;1973;0
536012;1;7;1973;49.1
536012;1;6;1973;74.7
536012;1;5;1973;72
536012;1;4;1973;128
536012;1;3;1973;227.3
536012;1;2;1973;32.6
536012;1;1;1973;11.5
536012;1;12;1972;26
536012;1;11;1972;0
536012;1;10;1972;0
536012;1;9;1972;5
536012;1;8;1972;20.8
536012;1;7;1972;70.6
536012;1;6;1972;22.6
536012;1;5;1972;55.8
536012;1;4;1972;106.8
536012;1;3;1972;38.3
536012;1;2;1972;32.8
536012;1;1;1972;0
536012;1;12;1971;0
536012;1;11;1971;26.6
536012;1;10;1971;1.3
536012;1;9;1971;4
536012;1;8;1971;21.6
536012;1;7;1971;12.2
536012;1;6;1971;13.2
536012;1;5;1971;45.4
536012;1;4;1971;130.3
536012;1;3;1971;54.3
536012;1;2;1971;11.7
536012;1;1;1971;37.1
536012;1;12;1970;0
536012;1;11;1970;1.9
536012;1;10;1970;0
536012;1;9;1970;2.1
536012;1;8;1970;21.7
536012;1;7;1970;15.1
536012;1;6;1970;28.1
536012;1;5;1970;2.5
536012;1;4;1970;20.8
536012;1;3;1970;110.5
536012;1;2;1970;20.7
536012;1;1;1970;25.9
536012;1;12;1969;0
536012;1;11;1969;0
536012;1;10;1969;0
536012;1;9;1969;0
536012;1;8;1969;47.4
536012;1;7;1969;42.7
536012;1;6;1969;36.6
536012;1;5;1969;85.7
536012;1;4;1969;49.6
536012;1;3;1969;14.3
536012;1;2;1969;22.9
536012;1;1;1969;35.2
536012;1;12;1968;1.4
536012;1;11;1968;0
536012;1;10;1968;0
536012;1;9;1968;0
536012;1;8;1968;3.8
536012;1;7;1968;79.3
536012;1;6;1968;7.4
536012;1;5;1968;142.3
536012;1;4;1968;104.8
536012;1;3;1968;287.6
536012;1;2;1968;0
536012;1;1;1968;40.4
536012;1;12;1967;33.6
536012;1;11;1967;0
536012;1;10;1967;3.2
536012;1;9;1967;0
536012;1;8;1967;0
536012;1;7;1967;0
536012;1;6;1967;0
536012;1;5;1967;0
536012;1;4;1967;53.6
536012;1;3;1967;292.5
536012;1;2;1967;96.9
536012;1;1;1967;0.1
536012;1;12;1966;0
536012;1;11;1966;0
536012;1;10;1966;0
536012;1;9;1966;0
536012;1;8;1966;0
536012;1;7;1966;57.3
536012;1;6;1966;0
536012;1;5;1966;94.7
536012;1;4;1966;82.4
536012;1;3;1966;0
536012;1;2;1966;48.2
536012;1;1;1966;0
536012;1;12;1965;0
536012;1;11;1965;0
536012;1;10;1965;0
536012;1;9;1965;0
536012;1;8;1965;16.5
536012;1;7;1965;0
536012;1;6;1965;126.5
536012;1;5;1965;98.7
536012;1;4;1965;175.5
536012;1;3;1965;42
536012;1;2;1965;7.1
536012;1;1;1965;32.8
536012;1;12;1964;0
536012;1;11;1964;0
536012;1;10;1964;0
536012;1;9;1964;14.8
536012;1;8;1964;31.4
536012;1;7;1964;59
536012;1;6;1964;42.8
536012;1;5;1964;134.5
536012;1;4;1964;108.7
536012;1;3;1964;86.2
536012;1;2;1964;134.8
536012;1;1;1964;0
536012;1;12;1963;18
536012;1;11;1963;3.3
536012;1;10;1963;0
536012;1;9;1963;0
536012;1;8;1963;0
536012;1;7;1963;1
536012;1;6;1963;0.3
536012;1;5;1963;85
536012;1;4;1963;266
536012;1;3;1963;106.5
536012;1;2;1963;21.2
536012;1;1;1963;43.9
536012;1;12;1962;0.4
536012;1;11;1962;0
536012;1;10;1962;0
536012;1;9;1962;9.9
536012;1;8;1962;6.8
536012;1;7;1962;0
