"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"26/09/2024";"0000";"26,1";"27,0";"26,1";"26,0";"26,0";"23,0";"5,1";"5,1";"4,0";"886,7";"886,7";"886,0";"3,1";"96,0";"5,9";"";"0,0"
"26/09/2024";"0100";"25,5";"26,1";"25,4";"29,0";"29,0";"26,0";"6,0";"6,1";"5,2";"887,3";"887,3";"886,7";"3,8";"96,0";"7,1";"";"0,0"
"26/09/2024";"0200";"24,9";"25,5";"24,5";"31,0";"31,0";"29,0";"6,4";"6,5";"6,0";"887,3";"887,5";"887,3";"3,1";"92,0";"7,1";"";"0,0"
"26/09/2024";"0300";"25,0";"25,0";"24,4";"30,0";"31,0";"30,0";"6,4";"6,5";"6,2";"887,1";"887,3";"887,1";"2,8";"85,0";"6,9";"";"0,0"
"26/09/2024";"0400";"24,1";"25,2";"23,8";"33,0";"33,0";"30,0";"6,7";"6,7";"6,3";"886,6";"887,1";"886,6";"2,5";"108,0";"5,9";"";"0,0"
"26/09/2024";"0500";"23,5";"24,1";"23,0";"33,0";"35,0";"33,0";"6,3";"6,7";"6,3";"885,9";"886,6";"885,9";"2,3";"115,0";"5,1";"";"0,0"
"26/09/2024";"0600";"23,1";"23,9";"23,1";"33,0";"33,0";"32,0";"5,9";"6,3";"5,9";"885,7";"885,9";"885,6";"2,0";"84,0";"4,9";"";"0,0"
"26/09/2024";"0700";"22,0";"23,5";"21,5";"38,0";"40,0";"33,0";"6,9";"7,5";"6,0";"886,1";"886,1";"885,7";"3,1";"98,0";"6,1";"";"0,0"
"26/09/2024";"0800";"21,0";"22,0";"20,8";"42,0";"42,0";"38,0";"7,7";"7,7";"6,9";"886,8";"886,8";"886,1";"1,6";"70,0";"6,0";"";"0,0"
"26/09/2024";"0900";"20,7";"21,0";"20,3";"46,0";"46,0";"42,0";"8,6";"8,6";"7,6";"887,0";"887,1";"886,8";"2,6";"72,0";"5,2";"";"0,0"
"26/09/2024";"1000";"22,4";"22,4";"20,5";"43,0";"46,0";"43,0";"9,3";"9,3";"8,5";"887,8";"887,8";"887,0";"2,3";"71,0";"5,7";"295,10";"0,0"
"26/09/2024";"1100";"23,4";"23,7";"22,4";"42,0";"43,0";"41,0";"9,9";"10,0";"9,0";"888,2";"888,2";"887,8";"4,2";"81,0";"8,3";"1098,40";"0,0"
"26/09/2024";"1200";"25,9";"25,9";"23,4";"34,0";"43,0";"34,0";"9,1";"10,0";"8,6";"888,7";"888,7";"888,2";"2,8";"53,0";"8,3";"1998,10";"0,0"
"26/09/2024";"1300";"27,6";"28,0";"25,5";"30,0";"35,0";"30,0";"8,6";"9,3";"8,2";"888,6";"888,7";"888,4";"3,3";"84,0";"6,2";"2748,70";"0,0"
"26/09/2024";"1400";"29,4";"29,9";"27,6";"25,0";"31,0";"24,0";"7,1";"9,0";"6,8";"888,4";"888,6";"888,3";"3,2";"61,0";"6,2";"3264,40";"0,0"
"26/09/2024";"1500";"30,7";"30,9";"29,1";"21,0";"25,0";"21,0";"6,1";"7,5";"5,7";"888,0";"888,4";"888,0";"2,1";"118,0";"6,1";"3525,70";"0,0"
"26/09/2024";"1600";"31,0";"31,6";"30,0";"20,0";"22,0";"19,0";"5,3";"6,5";"4,9";"887,2";"888,0";"887,2";"2,5";"113,0";"5,9";"3511,30";"0,0"
"26/09/2024";"1700";"31,3";"32,8";"30,5";"19,0";"21,0";"18,0";"5,0";"6,6";"4,7";"886,2";"887,2";"886,2";"3,1";"113,0";"7,0";"3105,40";"0,0"
"26/09/2024";"1800";"31,5";"32,4";"30,7";"19,0";"20,0";"18,0";"5,4";"6,0";"4,9";"885,4";"886,2";"885,4";"1,9";"131,0";"6,0";"2401,20";"0,0"
"26/09/2024";"1900";"31,8";"32,6";"31,1";"19,0";"20,0";"18,0";"5,2";"5,9";"4,9";"885,0";"885,4";"884,9";"3,6";"109,0";"6,3";"1890,00";"0,0"
"26/09/2024";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26/09/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26/09/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26/09/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
